id;Name;Price;City;ShopName;Rating;Rating Average;Total Reviews;Sold;Link
849827063;Jamur Champignon Fresh;12500;Jakarta Barat;Bakoel Sayur Online;5;4.8;1481;1481;https://www.tokopedia.com/bakoelindonesia/jamur-champignon-fresh?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D2605395
6782106467;Totole Kaldu Jamur 1 kg;87750;Jakarta Barat;Maju Karya Inc;5;5.0;485;485;https://www.tokopedia.com/majukaryainc/totole-kaldu-jamur-1-kg?extParam=ivf%3Dfalse%26src%3Dsearch
6541427667;Tropicana Slim Bumbu Kaldu Ayam Jamur 100gr - Rendah Garam Bebas MSG;26000;Jakarta Utara;NutriMart;5;5.0;1302;1302;https://www.tokopedia.com/nutrimartid/tropicana-slim-bumbu-kaldu-ayam-jamur-100gr-rendah-garam-bebas-msg?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D12669178
12378910476;Totole Mushroom Stock Powder | Kaldu Jamur Bubuk - 200 gram;27500;Jakarta Barat;Hijrahfood Meatshop;5;5.0;277;277;https://www.tokopedia.com/hijrahfood/totole-mushroom-stock-powder-kaldu-jamur-bubuk-200-gram?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D14188081
1025678226;MyTaste Mushroom Sauce / Jamur (Qty. 500 gr);19500;Jakarta Barat;Hijrahfood Meatshop;5;4.9;1893;1893;https://www.tokopedia.com/hijrahfood/mytaste-mushroom-sauce-jamur-qty-500-gr?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D14188081
14152134728;GIFT - Delmonte Carbonara Mushroom Standing Pouch 180gr;1000000;Bekasi;Lasallefood;5;5.0;287;287;https://www.tokopedia.com/lasallefood/gift-delmonte-carbonara-mushroom-standing-pouch-180gr?extParam=ivf%3Dfalse%26src%3Dsearch
5974280374;Jamur Shitake Hioko Iris / Shitake Mushroom Slice Frozen IQF (500 gr);16000;Jakarta Barat;Hijrahfood Meatshop;5;5.0;905;905;https://www.tokopedia.com/hijrahfood/jamur-shitake-hioko-iris-shitake-mushroom-slice-frozen-iqf-500-gr?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D14188081
815298238;Jamur Kancing/champignon;11000;Jakarta Pusat;Pak Sayur;5;4.9;1320;1320;https://www.tokopedia.com/paksayur/jamur-kancing-champignon?extParam=ivf%3Dfalse%26src%3Dsearch
474494425;Jamur Champignon 250 gr FreshBox;14500;Tangerang;FreshBox;5;4.9;1724;1724;https://www.tokopedia.com/freshfruitvegie/jamur-champignon-250-gr-freshbox?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch
849817430;Jamur Tiram Fresh;4100;Jakarta Barat;Bakoel Sayur Online;5;4.9;646;646;https://www.tokopedia.com/bakoelindonesia/jamur-tiram-fresh?extParam=ivf%3Dfalse%26src%3Dsearch%26whid%3D2605395
